"AirlineCode","AirlineName"
"DL","Delta Air Lines Inc."
"WN","Southwest Airlines Co."
"AA","American Airlines Inc."
"MQ","Envoy Air"
"UA","United Air Lines Inc."
"OO","SkyWest Airlines Inc."
"HP","America West Airlines Inc."
"EV","ExpressJet Airlines Inc."
"CO","Continental Air Lines Inc."
"XE","ExpressJet Airlines Inc. (1)"
"NW","Northwest Airlines Inc."
"B6","JetBlue Airways"
"YV","Mesa Airlines Inc."
"US","US Airways Inc."
"AS","Alaska Airlines Inc."
"TW","Trans World Airways LLC"
"F9","Frontier Airlines Inc."
"9E","Endeavor Air Inc."
"DH","Independence Air"
"OH","Comair Inc."
"FL","AirTran Airways Corporation"
"NK","Spirit Air Lines"
"VX","Virgin America"
"TZ","ATA Airlines d/b/a ATA"
"HA","Hawaiian Airlines Inc."
"KH","Aloha Airlines Inc."
