"Airport","Degree_Score"
"ABQ","11655.0"
"ABY","213.0"
"ALB","4116.0"
"ABI","555.0"
"CAK","1573.0"
"ATL","111488.0"
"BHM","6377.0"
"BIL","1200.0"
"BGM","264.0"
"RDM","526.0"
"BET","348.0"
"BTR","2267.0"
"BPT","194.0"
"BLI","109.0"
"BJI","61.0"
"BRW","286.0"
"BGR","529.0"
"BWI","30781.0"
"AUS","14368.0"
"MDW","23861.0"
"ORD","102764.0"
"AMA","2080.0"
"ACV","568.0"
"AGS","837.0"
"ACY","193.0"
"ANC","6463.0"
"ATW","596.0"
"ANI","3.0"
"AVL","1064.0"
"APN","50.0"
"ABE","1561.0"
"BFL","714.0"
"ASE","580.0"
"HTS","69.0"
"CLT","42537.0"
"CRW","949.0"
"CPR","414.0"
"CDC","127.0"
"CHS","3599.0"
"CID","2065.0"
"CMI","483.0"
"CLD","352.0"
"BTM","163.0"
"BTV","1496.0"
"BUR","9163.0"
"BQN","238.0"
"ADK","13.0"
"ABR","62.0"
"AEX","639.0"
"TRI","748.0"
"BRO","468.0"
"BUF","6972.0"
"BQK","205.0"
"BZN","1001.0"
"BRD","55.0"
"BKG","133.0"
"BOS","36844.0"
"BIS","785.0"
"BOI","4271.0"
"DFW","90644.0"
"TYS","3200.0"
"EYW","504.0"
"ILE","285.0"
"MCI","17878.0"
"LMT","116.0"
"GRK","526.0"
"AKN","73.0"
"KTN","798.0"
"ADQ","226.0"
"LRD","507.0"
"LAN","914.0"
"LAR","48.0"
"LCH","301.0"
"LNY","3.0"
"LFT","1035.0"
"LSE","469.0"
"KOA","2212.0"
"OTZ","333.0"
"LAS","47327.0"
"LIH","2140.0"
"LEX","2033.0"
"LWS","102.0"
"LWB","35.0"
"LBE","44.0"
"LIT","5100.0"
"LNK","878.0"
"GGG","185.0"
"LGB","2774.0"
"LAX","70411.0"
"FCA","575.0"
"IAH","51138.0"
"HOU","18405.0"
"OGG","4327.0"
"AZO","717.0"
"JNU","1417.0"
"JAX","8289.0"
"JMS","33.0"
"JLN","60.0"
"OAJ","230.0"
"HSV","2422.0"
"ISP","2351.0"
"JAN","3019.0"
"JAC","803.0"
"IND","11761.0"
"ITH","224.0"
"IYK","108.0"
"IMT","47.0"
"INL","44.0"
"IDA","634.0"
"HYA","2.0"
"EFD","51.0"
"SDF","6787.0"
"MHT","3855.0"
"MSN","2523.0"
"MMH","25.0"
"LBB","2487.0"
"LYH","74.0"
"MCN","65.0"
"MFR","896.0"
"MQT","134.0"
"MVY","15.0"
"MAZ","3.0"
"RSW","6966.0"
"MLB","676.0"
"HNL","11082.0"
"MKK","4.0"
"BDL","9272.0"
"MEM","15340.0"
"HLN","455.0"
"HDN","324.0"
"GSP","2940.0"
"GSO","4701.0"
"MSP","44044.0"
"ITO","1210.0"
"HOB","58.0"
"PIB","20.0"
"HIB","60.0"
"LGA","34423.0"
"JFK","25823.0"
"MSY","15754.0"
"EWR","40153.0"
"ORF","5659.0"
"OME","344.0"
"PHF","684.0"
"IAG","10.0"
"SWF","687.0"
"OAK","19048.0"
"OTH","113.0"
"OMA","6736.0"
"ONT","10490.0"
"MCO","34786.0"
"BNA","18485.0"
"HVN","33.0"
"EWN","126.0"
"MRY","1213.0"
"MYR","1202.0"
"CWA","273.0"
"MKG","81.0"
"ACK","60.0"
"APF","11.0"
"MTJ","367.0"
"MOB","1709.0"
"MGM","938.0"
"MWH","13.0"
"MLU","865.0"
"MLI","1201.0"
"MFE","1246.0"
"MOD","196.0"
"PNS","2466.0"
"PSG","225.0"
"PSP","2843.0"
"PIA","821.0"
"PSC","822.0"
"PLN","40.0"
"PHL","33096.0"
"ECP","591.0"
"PFN","271.0"
"OXR","116.0"
"PAH","96.0"
"PPG","9.0"
"MOT","478.0"
"CNY","10.0"
"MSO","876.0"
"MIB","6.0"
"MAF","2580.0"
"MKE","8933.0"
"MIA","24186.0"
"PHX","59374.0"
"PIT","24347.0"
"PDX","18480.0"
"PWM","2344.0"
"PSE","130.0"
"AZA","4.0"
"PIH","236.0"
"PBG","10.0"
"SMF","14473.0"
"ROA","989.0"
"RIC","5616.0"
"RDU","13676.0"
"RNO","7996.0"
"RHI","81.0"
"SAN","25926.0"
"SAT","12979.0"
"SJT","342.0"
"SLC","35037.0"
"SFO","48123.0"
"MBS","1002.0"
"ROC","4441.0"
"RKS","249.0"
"ROW","164.0"
"RST","789.0"
"RAP","985.0"
"RDD","280.0"
"FSD","1604.0"
"SEA","35350.0"
"GEG","4367.0"
"SBN","1187.0"
"SIT","401.0"
"SGU","433.0"
"SGF","1635.0"
"SPI","275.0"
"UST","7.0"
"STC","12.0"
"STL","36188.0"
"SUX","135.0"
"SHV","1891.0"
"TLH","1283.0"
"SYR","3483.0"
"SUN","339.0"
"SCE","142.0"
"KSM","5.0"
"PIE","92.0"
"TPA","21590.0"
"TUS","6608.0"
"TTN","148.0"
"TVC","684.0"
"TOL","607.0"
"TXK","306.0"
"TEX","15.0"
"ACT","393.0"
"VIS","35.0"
"VEL","12.0"
"VCT","37.0"
"VPS","1301.0"
"VLD","210.0"
"DUT","110.0"
"TYR","520.0"
"TWF","263.0"
"DCA","26986.0"
"IAD","21283.0"
"PBI","7924.0"
"ALO","66.0"
"ART","29.0"
"ILM","971.0"
"ILG","21.0"
"ORH","62.0"
"ISN","175.0"
"SPS","282.0"
"HPN","2444.0"
"WRG","238.0"
"YUM","508.0"
"YAK","246.0"
"WYS","50.0"
"AVP","651.0"
"SBA","2285.0"
"SAV","2706.0"
"SRQ","1798.0"
"CIU","37.0"
"SAF","198.0"
"SMX","245.0"
"SNA","14172.0"
"SJC","17358.0"
"SBP","981.0"
"SJU","7796.0"
"DAL","15246.0"
"PVD","6738.0"
"MEI","139.0"
"BMI","617.0"
"MDT","2309.0"
"HRL","1601.0"
"GUC","130.0"
"GPT","1062.0"
"CMX","96.0"
"GST","6.0"
"GUM","57.0"
"GRR","3739.0"
"GRB","1415.0"
"GTF","780.0"
"GJT","807.0"
"GFK","410.0"
"GNV","599.0"
"GCC","215.0"
"FAT","2444.0"
"FWA","1192.0"
"FSM","479.0"
"GRI","60.0"
"FLL","18984.0"
"FAR","1265.0"
"FAI","1571.0"
"EVV","846.0"
"XNA","2411.0"
"FAY","701.0"
"FLG","305.0"
"DLH","612.0"
"EUG","1228.0"
"ELM","415.0"
"ERI","291.0"
"ESC","32.0"
"EKO","268.0"
"ELP","7565.0"
"DTW","46820.0"
"DRO","467.0"
"EAU","93.0"
"IPL","92.0"
"EGE","503.0"
"DBQ","182.0"
"DHN","274.0"
"DVL","21.0"
"DIK","67.0"
"DLG","57.0"
"STX","273.0"
"CIC","198.0"
"CVG","22555.0"
"CLE","19483.0"
"CHA","1106.0"
"CYS","14.0"
"CHO","363.0"
"STT","1026.0"
"COS","3984.0"
"CLL","471.0"
"COD","183.0"
"FNT","1040.0"
"FLO","62.0"
"CMH","11540.0"
"CSG","345.0"
"GTR","211.0"
"DAY","4160.0"
"CDV","245.0"
"DEN","59019.0"
"DSM","3368.0"
"CRP","1873.0"
"CEC","157.0"
"PUB","15.0"
"DAB","837.0"
"SCC","193.0"
"DRT","7.0"
"COU","94.0"
"CAE","2238.0"
"UTM","4.0"
"SPN","1.0"
"SHD","2.0"
"RFD","2.0"
